V1,live,objekttyp,zustand,wohnflache,grundflache,zimmer,heizung,verfugbar,bautyp,boden,nutzflache,gesamtflache,abstellraum,balkon,barrierefrei,carport,dachterrasse,einbaukuche,fahrstuhl,garage,garten,keller,loggia,parkplatz,teilmobliert.mobliert,terrasse,wintergarten,hwb.kwh.m2.jahr,hwb.energieklasse,fgee.energieklasse,fgee,betriebskosten.inkl.mwst,heizkosten.exkl.mwst,monatliche.kosten.mwst,monatliche.kosten.inkl.mwst,sonstige.kosten.exkl.mwst,price,id,address,postalCode,city,county,state,country,street,houseNumber,district,geometry,wien.dist,kottingbrunn.dist,price.predicted,residual
384668695,TRUE,Mehrfamilienhaus,UNKNOWN,878,1.972,24,Etagenheizung,ab sofort,UNKNOWN,UNKNOWN,,UNKNOWN,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,109.3,D,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,2850000,652,"Perchtoldsdorf, Niederösterreich, Österreich",2380,Perchtoldsdorf,Mödling,Niederösterreich,AUT,UNKNOWN,UNKNOWN,UNKNOWN,16.26523|48.11936,11012.2839726336,18868.5170080354,5300533.36085064,2450533.36085064
379070007,TRUE,Villa,Neuwertig,750,1.35,7,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,1,UNKNOWN,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,68.6,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,3980000,592,"Gießhübl, Niederösterreich, Österreich",2372,Gießhübl,Mödling,Niederösterreich,AUT,UNKNOWN,UNKNOWN,UNKNOWN,16.23869|48.09778,14087.209554353,16287.0784368991,6198210.87864449,2218210.87864449
357519092,FALSE,Villa,Neuwertig,760,2.728,8,UNKNOWN,ab sofort,Neubau,UNKNOWN,,UNKNOWN,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,41.1,UNKNOWN,B,0.93,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,3600000,867,"Oberwaltersdorf, Niederösterreich, Österreich",2522,Oberwaltersdorf,Baden,Niederösterreich,AUT,UNKNOWN,UNKNOWN,UNKNOWN,16.32317|47.97773,23307.7548645101,7647.20405058941,5761535.34166867,2161535.34166867
387123289,TRUE,Sonstige,Sehr gut/gut,878,1.972,24,Zentralheizung,ab sofort,Neubau,Parkett,,UNKNOWN,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,109.3,C,C,1.41,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,2850000,595,"Perchtoldsdorf, Niederösterreich, Österreich",2380,Perchtoldsdorf,Mödling,Niederösterreich,AUT,UNKNOWN,UNKNOWN,UNKNOWN,16.26523|48.11936,11012.2839726336,18868.5170080354,4861589.07078611,2011589.07078611
357265205,TRUE,Sonstige,UNKNOWN,810,810,15,Etagenheizung,ab sofort,UNKNOWN,UNKNOWN,810,UNKNOWN,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,344.6,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,1500000,100,"2500, Niederösterreich, Österreich",2500,UNKNOWN,Baden,Niederösterreich,AUT,UNKNOWN,UNKNOWN,UNKNOWN,16.20435|48.0032,23888.5232503626,6029.54888474542,3435750.43801979,1935750.43801979
378646361,TRUE,Villa,UNKNOWN,670,22.416,11,Zentralheizung,UNKNOWN,Altbau,Parkett,,UNKNOWN,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,72.2559594383775,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,1950000,603,"Perchtoldsdorf, Niederösterreich, Österreich",2380,Perchtoldsdorf,Mödling,Niederösterreich,AUT,UNKNOWN,UNKNOWN,UNKNOWN,16.26523|48.11936,11012.2839726336,18868.5170080354,3668752.71057967,1718752.71057967
389602897,TRUE,Villa,UNKNOWN,670,22.416,11,Zentralheizung,UNKNOWN,Altbau,Parkett,,UNKNOWN,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,72.2559594383775,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,1950000,682,"Perchtoldsdorf, Niederösterreich, Österreich",2380,Perchtoldsdorf,Mödling,Niederösterreich,AUT,UNKNOWN,UNKNOWN,UNKNOWN,16.26523|48.11936,11012.2839726336,18868.5170080354,3655252.62721702,1705252.62721702
386056887,TRUE,Villa,Neuwertig,760,334.007319952775,8,Fußbodenheizung,ab sofort,Neubau,Parkett,,UNKNOWN,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,41.1,B,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,3600000,394,"Oberwaltersdorf, Niederösterreich, Österreich",2522,Oberwaltersdorf,Baden,Niederösterreich,AUT,UNKNOWN,UNKNOWN,UNKNOWN,16.32317|47.97773,23307.7548645101,7647.20405058941,5280188.18434672,1680188.18434672
378646363,TRUE,Villa,UNKNOWN,670,22.416,11,Zentralheizung,UNKNOWN,Altbau,Parkett,,UNKNOWN,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,72.2559594383775,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,1950000,265,"2500, Niederösterreich, Österreich",2500,UNKNOWN,Baden,Niederösterreich,AUT,UNKNOWN,UNKNOWN,UNKNOWN,16.20435|48.0032,23888.5232503626,6029.54888474542,3226845.30174057,1276845.30174057
325729165,TRUE,Sonstige,UNKNOWN,718,718,,Zentralheizung,UNKNOWN,UNKNOWN,UNKNOWN,718,UNKNOWN,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,90,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,1480000,538,"Maria Enzersdorf, Niederösterreich, Österreich",2344,Maria Enzersdorf,Mödling,Niederösterreich,AUT,UNKNOWN,UNKNOWN,UNKNOWN,16.28383|48.09806,11829.3676799024,16814.3579176549,2577701.29630729,1097701.29630729
